,year_x,rank_x,country,regional indicator_x,ladder score_x,log GDP per capita_x,social support_x,healthy life expectancy_x,freedom to make life choices_x,generosity_x,perceptions of corruption_x,dystopia + residual_x,whisker-high_x,whisker-low_x,year_y,rank_y,regional indicator_y,ladder score_y,log GDP per capita_y,social support_y,healthy life expectancy_y,freedom to make life choices_y,generosity_y,perceptions of corruption_y,dystopia + residual_y,whisker-high_y,whisker-low_y,Change_of_ladder_score,Change_of_ftmlc_rate,Change_of_poc_rate,Change_of_ss_rate,lockdown,_merge
0,2023,1,Finland,Western Europe,7.804,1.888,1.585,0.535,0.772,0.126,0.535,2.363,7.875,7.733,2020,1,Western Europe,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026,7.869766235,7.747633934,-0.004700084999999632,0.10968326000000006,0.057142738000000026,0.08547409499999992,Full,both
1,2023,2,Denmark,Western Europe,7.586,1.949,1.548,0.537,0.734,0.208,0.525,2.084,7.667,7.506,2020,2,Western Europe,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,7.711244583,7.579955101,-0.0595998419999999,0.068960103,0.029739671999999995,0.04455079799999995,Full,both
2,2023,3,Iceland,Western Europe,7.53,1.926,1.62,0.559,0.738,0.25,0.187,2.25,7.625,7.434,2020,4,Western Europe,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,7.621346951,7.387652874,0.025500088000000254,0.07601925200000004,0.04245922799999999,0.07243251300000009,Full,both
3,2023,4,Israel,Middle East and North Africa,7.473,1.833,1.521,0.577,0.569,0.124,0.158,2.691,7.535,7.411,2020,14,Middle East and North Africa,7.128600121,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402,7.211929798,7.045270443,0.344399879,0.14830052299999996,0.05810155,0.11774322599999998,Full,both
4,2023,5,Netherlands,Western Europe,7.403,1.942,1.488,0.545,0.672,0.251,0.394,2.11,7.46,7.346,2020,6,Western Europe,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,7.503372192,7.394428253,-0.045900223000000295,0.05837352000000007,0.025430237999999994,0.024354065000000036,Full,both
5,2023,6,Sweden,Western Europe,7.395,1.921,1.51,0.562,0.754,0.225,0.52,1.903,7.468,7.322,2020,7,Western Europe,7.353499889,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,7.424519062,7.282480717,0.04150011099999951,0.10370229900000005,0.077933629,0.07665229799999995,No,both
6,2023,7,Norway,Western Europe,7.315,1.994,1.521,0.544,0.752,0.212,0.463,1.829,7.402,7.229,2020,5,Western Europe,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,7.55628109,7.419718742,-0.1729999159999993,0.081799116,0.028899432000000003,0.02582749899999981,Full,both
7,2023,8,Switzerland,Western Europe,7.24,2.022,1.463,0.582,0.678,0.151,0.475,1.87,7.324,7.156,2020,3,Western Europe,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,7.628527641,7.491271973,-0.31989980699999965,0.049045530000000004,0.06705409899999998,-0.009403406999999975,Full,both
8,2023,9,Luxembourg,Western Europe,7.228,2.2,1.357,0.549,0.71,0.149,0.418,1.845,7.363,7.093,2020,10,Western Europe,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352,7.297969818,7.177030563,-0.00950019099999988,0.09986295499999998,0.050958530999999974,-0.030528418999999918,Full,both
9,2023,10,New Zealand,North America and ANZ,7.123,1.842,1.544,0.513,0.672,0.23,0.471,1.852,7.198,7.048,2020,8,North America and ANZ,7.299600124,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,7.376952648,7.222247601,-0.17660012400000014,0.025210092000000017,0.009731723999999997,0.05678161999999998,Full,both
10,2023,11,Austria,Western Europe,7.097,1.927,1.382,0.535,0.63,0.191,0.31,2.124,7.176,7.018,2020,9,Western Europe,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,7.359595776,7.228804111,-0.1971999439999994,0.02663112199999995,0.02874386099999998,-0.0554449250000002,Full,both
11,2023,12,Australia,North America and ANZ,7.095,1.899,1.497,0.532,0.677,0.242,0.31,1.938,7.18,7.009,2020,12,North America and ANZ,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,7.30480814,7.140791416,-0.12779977799999998,0.05512280700000005,-0.025996418999999993,0.01985373200000007,Partial,both
12,2023,13,Canada,North America and ANZ,6.961,1.881,1.484,0.541,0.656,0.218,0.364,1.815,7.042,6.879,2020,11,North America and ANZ,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108,7.311294556,7.152905464,-0.2711000099999996,0.011971873000000022,0.01229814400000001,0.04860809700000002,Partial,both
