year,rank,country,regional indicator,ladder score,log GDP per capita,social support,healthy life expectancy,freedom to make life choices,generosity,perceptions of corruption,dystopia + residual,whisker-high,whisker-low
2022,1,Finland,Western Europe,7.821,1.892,1.258,0.775,0.736,0.109,0.534,2.518,7.886,7.756
2022,2,Denmark,Western Europe,7.636,1.953,1.243,0.777,0.719,0.188,0.532,2.226,7.71,7.563
2022,3,Iceland,Western Europe,7.557,1.936,1.32,0.803,0.718,0.27,0.191,2.32,7.651,7.464
2022,4,Switzerland,Western Europe,7.512,2.026,1.226,0.822,0.677,0.147,0.461,2.153,7.586,7.437
2022,5,Netherlands,Western Europe,7.415,1.945,1.206,0.787,0.651,0.271,0.419,2.137,7.471,7.359
2022,6,Luxembourg*,Western Europe,7.404,2.209,1.155,0.79,0.7,0.12,0.388,2.042,7.501,7.307
2022,7,Sweden,Western Europe,7.384,1.92,1.204,0.803,0.724,0.218,0.512,2.003,7.454,7.315
2022,8,Norway,Western Europe,7.365,1.997,1.239,0.786,0.728,0.217,0.474,1.925,7.44,7.29
2022,9,Israel,Middle East and North Africa,7.364,1.826,1.221,0.818,0.568,0.155,0.143,2.634,7.426,7.301
2022,10,New Zealand,North America and ANZ,7.2,1.852,1.235,0.752,0.68,0.245,0.483,1.954,7.279,7.12
2022,11,Austria,Western Europe,7.163,1.931,1.165,0.774,0.623,0.193,0.329,2.148,7.237,7.089
2022,12,Australia,North America and ANZ,7.162,1.9,1.203,0.772,0.676,0.258,0.341,2.011,7.244,7.081
2022,13,Ireland,Western Europe,7.041,2.129,1.166,0.779,0.627,0.19,0.408,1.743,7.121,6.961
2022,14,Germany,Western Europe,7.034,1.924,1.088,0.776,0.585,0.163,0.358,2.142,7.122,6.947
2022,15,Canada,North America and ANZ,7.025,1.886,1.188,0.783,0.659,0.217,0.368,1.924,7.107,6.943
2022,16,United States,North America and ANZ,6.977,1.982,1.182,0.628,0.574,0.22,0.177,2.214,7.065,6.888
2022,17,United Kingdom,Western Europe,6.943,1.867,1.143,0.75,0.597,0.289,0.329,1.967,7.018,6.867
2022,18,Czechia,Central and Eastern Europe,6.92,1.815,1.26,0.715,0.66,0.158,0.048,2.263,7.029,6.811
2022,19,Belgium,Western Europe,6.805,1.907,1.106,0.764,0.492,0.049,0.204,2.283,6.89,6.72
2022,20,France,Western Europe,6.687,1.863,1.219,0.808,0.567,0.07,0.266,1.895,6.758,6.615
2022,21,Bahrain,Middle East and North Africa,6.647,1.854,1.029,0.625,0.693,0.199,0.155,2.092,6.779,6.514
2022,22,Slovenia,Central and Eastern Europe,6.63,1.81,1.249,0.769,0.685,0.118,0.115,1.885,6.718,6.542
2022,23,Costa Rica,Latin America and Caribbean,6.582,1.584,1.054,0.744,0.661,0.089,0.102,2.346,6.683,6.481
2022,24,United Arab Emirates,Middle East and North Africa,6.576,1.998,0.98,0.633,0.702,0.204,0.25,1.809,6.66,6.492
2022,25,Saudi Arabia,Middle East and North Africa,6.523,1.87,1.092,0.577,0.651,0.078,0.18,2.075,6.637,6.409
2022,26,Taiwan Province of China,East Asia,6.512,1.897,1.095,0.733,0.542,0.075,0.168,2.002,6.596,6.429
2022,27,Singapore,Southeast Asia,6.48,2.149,1.127,0.851,0.672,0.163,0.587,0.932,6.569,6.392
2022,28,Romania,Central and Eastern Europe,6.477,1.719,1.006,0.655,0.605,0.039,0.006,2.446,6.575,6.379
2022,29,Spain,Western Europe,6.476,1.808,1.211,0.808,0.505,0.101,0.149,1.893,6.56,6.392
2022,30,Uruguay,Latin America and Caribbean,6.474,1.615,1.18,0.672,0.665,0.103,0.265,1.974,6.562,6.386
2022,31,Italy,Western Europe,6.467,1.834,1.052,0.801,0.412,0.085,0.059,2.222,6.57,6.363
2022,32,Kosovo,Central and Eastern Europe,6.455,1.362,0.949,0.569,0.599,0.309,0.035,2.631,6.571,6.339
2022,33,Malta,Western Europe,6.447,1.838,1.169,0.789,0.679,0.174,0.166,1.631,6.535,6.359
2022,34,Lithuania,Central and Eastern Europe,6.446,1.804,1.204,0.659,0.496,0.053,0.077,2.153,6.535,6.356
2022,35,Slovakia,Central and Eastern Europe,6.391,1.736,1.232,0.707,0.479,0.118,0.025,2.094,6.475,6.306
2022,36,Estonia,Central and Eastern Europe,6.341,1.793,1.232,0.728,0.689,0.123,0.333,1.442,6.415,6.266
2022,37,Panama,Latin America and Caribbean,6.309,1.715,1.107,0.709,0.592,0.049,0.051,2.086,6.464,6.154
2022,38,Brazil,Latin America and Caribbean,6.293,1.462,1.044,0.615,0.546,0.131,0.134,2.361,6.384,6.202
2022,39,Guatemala*,Latin America and Caribbean,6.262,1.274,0.831,0.522,0.662,0.112,0.115,2.746,6.46,6.064
2022,40,Kazakhstan,Commonwealth of Independent States,6.234,1.668,1.22,0.611,0.584,0.134,0.157,1.86,6.33,6.138
2022,41,Cyprus,Western Europe,6.221,1.815,0.909,0.819,0.448,0.123,0.062,2.044,6.32,6.122
2022,42,Latvia,Central and Eastern Europe,6.18,1.732,1.221,0.637,0.502,0.075,0.09,1.923,6.255,6.106
2022,43,Serbia,Central and Eastern Europe,6.178,1.55,1.086,0.658,0.546,0.219,0.088,2.031,6.294,6.062
2022,44,Chile,Latin America and Caribbean,6.172,1.651,1.08,0.748,0.46,0.124,0.069,2.04,6.262,6.082
